model,layer_idx,class,species,n_clips,within_var,centroid_norm
eat_all,1,Mammalia,Stenella coeruleoalba,5,22.61147511561722,2.027283746596717
eat_all,2,Aves,Parus major,6,26.85385129855521,1.9335349530113832
eat_all,2,Aves,Fringilla coelebs,14,26.479929595557472,1.962048048253948
eat_all,2,Aves,Erithacus rubecula,6,25.08188130248346,2.0945651566537533
eat_all,2,Aves,Turdus merula,10,26.60311174941829,1.9520938127211416
eat_all,2,Aves,Anthus trivialis,5,26.486608580673156,2.0892860193626963
eat_all,2,Mammalia,Globicephala macrorhynchus,7,24.229349190228426,2.0946328521201005
eat_all,2,Mammalia,Delphinus delphis,8,24.872631298700167,2.122383076284764
eat_all,2,Mammalia,Balaenoptera physalus,8,25.9468716871958,2.3865786299342484
eat_all,2,Mammalia,Megaptera novaeangliae,8,25.597456953941542,1.9632285714619238
eat_all,2,Mammalia,Orcinus orca,18,25.68124957361616,1.9999176288307547
eat_all,2,Mammalia,Lagenorhynchus acutus,6,22.68186628485952,2.304419825325751
eat_all,2,Mammalia,Stenella coeruleoalba,5,22.989948799113744,2.278646952893534
eat_all,3,Aves,Parus major,6,27.65884048811904,2.2661209327491845
eat_all,3,Aves,Fringilla coelebs,14,27.447555424374695,2.261798897511999
eat_all,3,Aves,Erithacus rubecula,6,26.176887575414177,2.4574918469472498
eat_all,3,Aves,Turdus merula,10,27.183729546561437,2.3106882656654513
eat_all,3,Aves,Anthus trivialis,5,27.351207134163847,2.405798993229776
eat_all,3,Mammalia,Globicephala macrorhynchus,7,24.36738339508012,2.468450947342297
eat_all,3,Mammalia,Delphinus delphis,8,25.224917061209815,2.462870723762262
eat_all,3,Mammalia,Balaenoptera physalus,8,24.97738333094899,2.6918871495109813
eat_all,3,Mammalia,Megaptera novaeangliae,8,26.643818602323336,2.235953643642971
eat_all,3,Mammalia,Orcinus orca,18,26.351496385378503,2.247457330655165
eat_all,3,Mammalia,Lagenorhynchus acutus,6,22.647231351476325,2.7794610076137536
eat_all,3,Mammalia,Stenella coeruleoalba,5,23.381542513680568,2.675229670588136
eat_all,4,Aves,Parus major,6,50.98722994692606,2.807740017259381
eat_all,4,Aves,Fringilla coelebs,14,50.6597408477646,2.8256093673494003
eat_all,4,Aves,Erithacus rubecula,6,48.22314308407761,3.1193421510471184
eat_all,4,Aves,Turdus merula,10,50.847021982846826,2.840098302994617
eat_all,4,Aves,Anthus trivialis,5,50.80119022249462,2.9038130990737514
eat_all,4,Mammalia,Globicephala macrorhynchus,7,44.992126630324194,3.256882775031681
eat_all,4,Mammalia,Delphinus delphis,8,46.636119866081884,3.2650869707041688
eat_all,4,Mammalia,Balaenoptera physalus,8,45.06275264543078,3.7432370624051408
eat_all,4,Mammalia,Megaptera novaeangliae,8,49.34864282634284,2.8107878051189528
eat_all,4,Mammalia,Orcinus orca,18,48.52984321802357,2.963370001914272
eat_all,4,Mammalia,Lagenorhynchus acutus,6,41.55404123676951,3.6628578181540834
eat_all,4,Mammalia,Stenella coeruleoalba,5,43.85686886770275,3.393672148741141
eat_all,5,Aves,Parus major,6,59.88527695350719,2.932660929524336
eat_all,5,Aves,Fringilla coelebs,14,59.61061791181709,2.963557954462543
eat_all,5,Aves,Erithacus rubecula,6,57.19898508099274,3.3645889232218082
eat_all,5,Aves,Turdus merula,10,60.008265981057605,2.946738406304819
eat_all,5,Aves,Anthus trivialis,5,58.695361090968355,3.093397424522088
