model,layer_idx,class,species,n_clips,within_var,centroid_norm
eat_all,10,Aves,Calidris alpina,5,26.110242431015834,2.6065865298593973
eat_all,10,Aves,Aegolius funereus,5,25.91975108695172,2.634109911369659
eat_all,10,Aves,Strix aluco,7,25.686926991306002,2.630267411775156
eat_all,10,Aves,Tyto alba,5,25.892219544244444,2.612230789027293
eat_all,10,Aves,Bubo virginianus,5,25.555889319668537,2.675434730336184
eat_all,10,Aves,Strix varia,6,25.537526718198,2.643631109353838
eat_all,10,Mammalia,Delphinus delphis,9,24.593709425617124,2.93713298483787
eat_all,10,Mammalia,Globicephala melaena,8,22.719293721581906,3.203777109641531
eat_all,10,Mammalia,Stenella attenuata,6,24.81503412789606,2.921665115458592
eat_all,10,Mammalia,Sciurus carolinensis,7,25.586386368432862,2.6302828035364176
eat_all,10,Mammalia,Stenella coeruleoalba,5,23.557426937241022,3.134292344725784
eat_all,10,Mammalia,Orcinus orca,28,25.24212666628468,2.7511087022172194
eat_all,10,Mammalia,Pseudorca crassidens,8,24.28706189857759,2.998478308482653
eat_all,10,Mammalia,Eubalaena glacialis,7,24.77909377720265,2.897697459534102
eat_all,10,Mammalia,Lagenorhynchus acutus,7,23.984028673304056,2.9904345045707297
eat_all,10,Mammalia,Megaptera novaeangliae,10,25.239372076906896,2.8110057001876476
eat_all,10,Mammalia,Globicephala macrorhynchus,9,24.530243055453774,2.9411229023396044
eat_all,10,Mammalia,Canis latrans,6,25.095730082204923,2.6994747499101566
eat_all,10,Mammalia,Physeter catodon,8,23.081297158973047,3.175183527002081
eat_all,10,Mammalia,Balaenoptera physalus,12,23.136008846990887,3.1638755639002163
eat_all,10,Mammalia,Erignathus barbatus,7,23.960681274537638,3.027986919407734
eat_all,11,Aves,Colaptes auratus,6,33.80646687999057,2.830431571208578
eat_all,11,Aves,Picus viridis,5,33.33563149084156,2.8764470108128117
eat_all,11,Aves,Dendrocopos major,11,33.66287056379388,2.8548795575965675
eat_all,11,Aves,Sterna paradisaea,5,34.41051786265074,2.7393896690711865
eat_all,11,Aves,Dryobates pubescens,5,33.906498818265554,2.848289693815032
eat_all,11,Aves,Athene noctua,7,33.81620719345486,2.8302628804802943
eat_all,11,Aves,Strix uralensis,5,31.259280441267183,3.155961004111606
eat_all,11,Aves,Calidris alpina,5,33.37455107794129,2.911915808563385
eat_all,11,Aves,Aegolius funereus,5,33.98751820059995,2.842959447752633
eat_all,11,Aves,Strix aluco,7,33.12281677382836,2.9006588295431763
eat_all,11,Aves,Tyto alba,5,33.5819884414156,2.871327012235654
eat_all,11,Aves,Bubo virginianus,5,33.248627974761504,2.9273216446877384
eat_all,11,Aves,Strix varia,6,33.33435874474082,2.89870976462781
eat_all,11,Mammalia,Delphinus delphis,9,31.38025543816205,3.260745997042466
eat_all,11,Mammalia,Globicephala melaena,8,28.769445584594862,3.5848651671141383
eat_all,11,Mammalia,Stenella attenuata,6,31.71679851361101,3.189486165771941
eat_all,11,Mammalia,Sciurus carolinensis,7,33.296192631715385,2.887832046515845
eat_all,11,Mammalia,Stenella coeruleoalba,5,30.518315732631198,3.3886183795898788
eat_all,11,Mammalia,Orcinus orca,28,31.863399047824913,3.106608624826963
eat_all,11,Mammalia,Pseudorca crassidens,8,31.760194522024662,3.159016290643506
eat_all,11,Mammalia,Eubalaena glacialis,7,31.689163907500152,3.189358444322341
eat_all,11,Mammalia,Lagenorhynchus acutus,7,30.847589902466275,3.311909198756508
eat_all,11,Mammalia,Megaptera novaeangliae,10,32.315900280820024,3.111859422537847
eat_all,11,Mammalia,Globicephala macrorhynchus,9,30.75311607321252,3.284020237329916
eat_all,11,Mammalia,Canis latrans,6,32.62807506079385,2.9760190212740416
eat_all,11,Mammalia,Physeter catodon,8,29.243233455937332,3.512268183816158
eat_all,11,Mammalia,Balaenoptera physalus,12,30.327005007507857,3.4149301314132186
eat_all,11,Mammalia,Erignathus barbatus,7,31.29025782476508,3.2735461620543185
eat_all,12,Aves,Colaptes auratus,6,17.94569569778326,5.429636044170563
eat_all,12,Aves,Picus viridis,5,17.334510500038785,5.21754456136157
eat_all,12,Aves,Dendrocopos major,11,17.97107475098231,5.408194770361348
eat_all,12,Aves,Sterna paradisaea,5,19.40543395630977,5.544136629665181
eat_all,12,Aves,Dryobates pubescens,5,16.77862245319398,5.174951840116842
eat_all,12,Aves,Athene noctua,7,19.166207611553926,5.808157542148753
eat_all,12,Aves,Strix uralensis,5,16.326825507545703,5.46067027104766
eat_all,12,Aves,Calidris alpina,5,18.425802033802,5.251185903854447
eat_all,12,Aves,Aegolius funereus,5,19.273001869349713,5.45967019768911
eat_all,12,Aves,Strix aluco,7,17.613850521926068,5.445649150487069
eat_all,12,Aves,Tyto alba,5,17.27643520077556,5.074485749560785
