model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
eat_all,8,Physeter catodon,8,53.005972343073424,4.63477245522879,0.8152380355870996,Mammalia
eat_all,8,Orcinus orca,28,60.10044896350061,4.046911114696952,0.8814787321128144,Mammalia
eat_all,8,Erignathus barbatus,7,57.952061448840325,4.485929795014246,0.8462343952239906,Mammalia
eat_all,8,Lagenorhynchus acutus,7,54.327487513757575,4.47025590690015,0.9048945922549326,Mammalia
eat_all,8,Strix uralensis,5,49.990473235127666,4.828375946298807,0.8530986379940384,Aves
eat_all,8,Strix varia,6,57.490710969316645,4.17691590908574,0.9344996116458023,Aves
eat_all,8,Calidris alpina,5,58.76422924623554,4.077137320672867,0.9493119933384744,Aves
eat_all,8,Colaptes auratus,6,59.20365414534441,4.1432577211059956,0.9181093463996086,Aves
eat_all,8,Dryobates pubescens,5,59.52235541980552,3.995708130978644,0.95488718753666,Aves
eat_all,8,Canis latrans,6,57.79602036360805,4.238233372519925,0.9134728213088629,Mammalia
eat_all,8,Dendrocopos major,11,60.19087176554387,4.022109312955305,0.9380704987115709,Aves
eat_all,8,Stenella coeruleoalba,5,56.186708777750376,4.599378204040997,0.8427983122639149,Mammalia
eat_all,8,Stenella attenuata,6,60.10945818620414,4.174429196879878,0.8759906191993794,Mammalia
eat_all,8,Tyto alba,5,58.51382274479114,4.092309862368972,0.9464585378019487,Aves
eat_all,8,Megaptera novaeangliae,10,59.94045359932671,4.238697058410432,0.8576591987213421,Mammalia
eat_all,8,Picus viridis,5,59.85292732475277,4.0065338779321165,0.9383308139404436,Aves
eat_all,8,Athene noctua,7,59.988084766883716,4.0461758984988565,0.9214560437385457,Aves
eat_all,8,Bubo virginianus,5,56.53927334500618,4.284025132031871,0.9195889388613857,Aves
eat_all,8,Sciurus carolinensis,7,58.70979478643214,4.121988737288803,0.9355241369499474,Mammalia
eat_all,8,Pseudorca crassidens,8,58.6243441708641,4.2668798991213865,0.8397488876033624,Mammalia
eat_all,8,Globicephala macrorhynchus,9,57.54552101458157,4.235900142975643,0.8855335528444648,Mammalia
eat_all,8,Globicephala melaena,8,53.839998543356266,4.64289916251595,0.8569924648477049,Mammalia
eat_all,8,Sterna paradisaea,5,62.418240803639186,3.858105735859726,0.9241137935077233,Aves
eat_all,8,Strix aluco,7,58.357518685167534,4.143857578117386,0.9305387256749248,Aves
eat_all,8,Balaenoptera physalus,12,55.71455210286782,4.9692525404184185,0.6534600678684225,Mammalia
eat_all,9,Delphinus delphis,9,40.0493251603513,3.679464001669791,0.8999218340916888,Mammalia
eat_all,9,Eubalaena glacialis,7,40.476326945727855,3.7277552790129658,0.8698949015583196,Mammalia
eat_all,9,Aegolius funereus,5,40.922537211232324,3.496421065605174,0.926191332272943,Aves
