model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
sl_eat_bio_ssl_all,10,Globicephala macrorhynchus,7,27.771017653624888,2.831261578299226,0.649219119507079,Mammalia
sl_eat_bio_ssl_all,10,Orcinus orca,18,25.372554084528417,3.2657871109410235,0.5966752292491098,Mammalia
sl_eat_bio_ssl_all,10,Fringilla coelebs,14,27.107544219517553,2.9919861938483834,0.7463234630091463,Aves
sl_eat_bio_ssl_all,10,Turdus merula,10,28.351097120961644,2.768803889581338,0.7304657610523605,Aves
sl_eat_bio_ssl_all,11,Lagenorhynchus acutus,6,23.190494277644035,3.6228978242024032,0.8046285278792774,Mammalia
sl_eat_bio_ssl_all,11,Delphinus delphis,8,23.786563998770475,3.4177125239168156,0.7627288227840141,Mammalia
sl_eat_bio_ssl_all,11,Balaenoptera physalus,8,23.64818740073716,3.489035956118845,0.6416530230031867,Mammalia
sl_eat_bio_ssl_all,11,Erithacus rubecula,6,25.733104895785313,3.4345281573265565,0.7801379687172817,Aves
sl_eat_bio_ssl_all,11,Parus major,6,24.96721165877426,3.457509836739145,0.8186582180785716,Aves
sl_eat_bio_ssl_all,11,Stenella coeruleoalba,5,21.20916604811366,3.854652768936109,0.7509279761922126,Mammalia
sl_eat_bio_ssl_all,11,Megaptera novaeangliae,8,24.029318517905786,3.4126092957104115,0.6864004752303448,Mammalia
sl_eat_bio_ssl_all,11,Anthus trivialis,5,24.53297250703849,3.5472520037921758,0.7322980536768171,Aves
sl_eat_bio_ssl_all,11,Globicephala macrorhynchus,7,25.17557077424974,3.284777562739228,0.7893275194069069,Mammalia
sl_eat_bio_ssl_all,11,Orcinus orca,18,23.49188309756401,3.685943175204763,0.7242576868266746,Mammalia
sl_eat_bio_ssl_all,11,Fringilla coelebs,14,26.99804563190467,3.223138251252353,0.8416091571532787,Aves
sl_eat_bio_ssl_all,11,Turdus merula,10,27.617475950740467,3.2322820917299264,0.7959933048040727,Aves
sl_eat_bio_ssl_all,12,Lagenorhynchus acutus,6,216.76381964376012,10.988597762108173,0.7114380335906269,Mammalia
sl_eat_bio_ssl_all,12,Delphinus delphis,8,231.1535734329001,10.77266788181745,0.7380107045892553,Mammalia
sl_eat_bio_ssl_all,12,Balaenoptera physalus,8,203.89033787985412,11.911364530294756,0.7605575505527803,Mammalia
sl_eat_bio_ssl_all,12,Erithacus rubecula,6,178.6657817729805,11.27707086378986,0.886212842179985,Aves
sl_eat_bio_ssl_all,12,Parus major,6,168.17129781870483,10.382527879997827,0.8973276536786394,Aves
sl_eat_bio_ssl_all,12,Stenella coeruleoalba,5,209.15079384281142,10.952502204654927,0.7439995477455184,Mammalia
sl_eat_bio_ssl_all,12,Megaptera novaeangliae,8,228.70239577374466,11.619882844649734,0.6420157028181692,Mammalia
sl_eat_bio_ssl_all,12,Anthus trivialis,5,163.56668533493055,11.665708942904896,0.831880364042891,Aves
sl_eat_bio_ssl_all,12,Globicephala macrorhynchus,7,225.14545129885823,9.850096579294364,0.736729444321375,Mammalia
sl_eat_bio_ssl_all,12,Orcinus orca,18,239.30864631759107,9.702935265074492,0.6503349586262744,Mammalia
sl_eat_bio_ssl_all,12,Fringilla coelebs,14,175.12934396579996,10.404756184161888,0.9122711714275807,Aves
sl_eat_bio_ssl_all,12,Turdus merula,10,182.4054198068697,11.183572154462135,0.910564983694048,Aves
random_init_eat_seed42,0,Lagenorhynchus acutus,6,692.3092590404026,8.696463671509607,0.8899155359987566,Mammalia
random_init_eat_seed42,0,Delphinus delphis,8,688.6931774571626,8.902068875141145,0.3271650250467069,Mammalia
random_init_eat_seed42,0,Balaenoptera physalus,8,314.5156935416858,21.294504905724835,0.7766933162149972,Mammalia
random_init_eat_seed42,0,Erithacus rubecula,6,640.8660900789441,11.273142430197481,0.9744399904006504,Aves
random_init_eat_seed42,0,Parus major,6,694.5785938422225,8.566177542055813,0.9872200648950394,Aves
random_init_eat_seed42,0,Stenella coeruleoalba,5,706.3345654522097,7.84860666612356,0.6073376621068772,Mammalia
