model,layer_idx,source_dataset,n_samples,effective_rank
sl_eat_bio_ssl_all,6,Watkins,100,35.57686597383499
sl_eat_bio_ssl_all,6,WavCaps,100,52.56752147104628
sl_eat_bio_ssl_all,6,Xeno-canto,100,61.622411996948614
sl_eat_bio_ssl_all,6,iNaturalist,100,58.36178252509078
sl_eat_bio_ssl_all,6,nature_only,400,92.82489383885799
sl_eat_bio_ssl_all,6,nonnature_only,200,55.75986322715593
sl_eat_bio_ssl_all,7,Animal Sound Archive,100,53.401873552335765
sl_eat_bio_ssl_all,7,NatureLM,100,31.69051947969971
sl_eat_bio_ssl_all,7,Watkins,100,37.450720354709695
sl_eat_bio_ssl_all,7,WavCaps,100,57.49459079979566
sl_eat_bio_ssl_all,7,Xeno-canto,100,68.0612114759683
sl_eat_bio_ssl_all,7,iNaturalist,100,64.88688182003601
sl_eat_bio_ssl_all,7,nature_only,400,113.94164217747851
sl_eat_bio_ssl_all,7,nonnature_only,200,66.12750960382425
sl_eat_bio_ssl_all,8,Animal Sound Archive,100,52.53143823057128
sl_eat_bio_ssl_all,8,NatureLM,100,32.24158824948529
sl_eat_bio_ssl_all,8,Watkins,100,40.521113376911984
sl_eat_bio_ssl_all,8,WavCaps,100,58.0256720217221
sl_eat_bio_ssl_all,8,Xeno-canto,100,69.55772096400405
sl_eat_bio_ssl_all,8,iNaturalist,100,67.2945619812362
sl_eat_bio_ssl_all,8,nature_only,400,119.12650252551396
sl_eat_bio_ssl_all,8,nonnature_only,200,66.60739985718651
sl_eat_bio_ssl_all,9,Animal Sound Archive,100,56.03695202815038
sl_eat_bio_ssl_all,9,NatureLM,100,36.697114175866496
sl_eat_bio_ssl_all,9,Watkins,100,40.25214874452311
sl_eat_bio_ssl_all,9,WavCaps,100,62.25881911476099
sl_eat_bio_ssl_all,9,Xeno-canto,100,72.02220263035888
sl_eat_bio_ssl_all,9,iNaturalist,100,71.86065199330412
sl_eat_bio_ssl_all,9,nature_only,400,127.09400240515511
sl_eat_bio_ssl_all,9,nonnature_only,200,76.44744186823515
sl_eat_bio_ssl_all,10,Animal Sound Archive,100,54.83603555762947
sl_eat_bio_ssl_all,10,NatureLM,100,37.29227455111352
sl_eat_bio_ssl_all,10,Watkins,100,42.0531098699187
sl_eat_bio_ssl_all,10,WavCaps,100,61.409774790811824
sl_eat_bio_ssl_all,10,Xeno-canto,100,73.63036952542497
sl_eat_bio_ssl_all,10,iNaturalist,100,74.14555443456241
sl_eat_bio_ssl_all,10,nature_only,400,126.62962021968848
sl_eat_bio_ssl_all,10,nonnature_only,200,76.19388009066623
sl_eat_bio_ssl_all,11,Animal Sound Archive,100,56.65747748041268
sl_eat_bio_ssl_all,11,NatureLM,100,36.83908592527084
sl_eat_bio_ssl_all,11,Watkins,100,43.6359822127009
sl_eat_bio_ssl_all,11,WavCaps,100,61.612090103003915
sl_eat_bio_ssl_all,11,Xeno-canto,100,75.85727783427117
sl_eat_bio_ssl_all,11,iNaturalist,100,74.11298104286878
sl_eat_bio_ssl_all,11,nature_only,400,102.9289517307949
sl_eat_bio_ssl_all,11,nonnature_only,200,76.04504409366936
sl_eat_bio_ssl_all,12,Animal Sound Archive,100,53.19768265555715
sl_eat_bio_ssl_all,12,NatureLM,100,37.531094284081426
sl_eat_bio_ssl_all,12,Watkins,100,39.77740771647467
sl_eat_bio_ssl_all,12,WavCaps,100,55.536415874146485
sl_eat_bio_ssl_all,12,Xeno-canto,100,65.73431357104698
sl_eat_bio_ssl_all,12,iNaturalist,100,63.30668324695345
sl_eat_bio_ssl_all,12,nature_only,400,92.78673339937481
sl_eat_bio_ssl_all,12,nonnature_only,200,68.89007662967613
