source_dataset,layer_idx,layer_name,cosine_similarity_mean,cosine_similarity_std,cosine_similarity_median,cosine_distance_mean,cosine_distance_std,cosine_distance_median,l2_distance_mean,l2_distance_std,l2_distance_median,norm_model_a_mean,norm_model_a_std,norm_model_a_median,norm_model_b_mean,norm_model_b_std,norm_model_b_median,norm_delta_b_minus_a_mean,norm_delta_b_minus_a_std,norm_delta_b_minus_a_median
Watkins,8,model.blocks.7,0.28660654798150065,0.05181218236893131,0.2876499742269516,0.7133934527635575,0.05181218048007694,0.7123500108718872,6.394174771308899,0.5942202099671909,6.394251585006714,4.937535331249237,0.597883229793659,4.958080291748047,5.678412432670593,0.5146225124428407,5.59725546836853,0.7408771014213562,0.7115064755508129,0.69673752784729
Watkins,9,model.blocks.8,0.2131046462059021,0.06454551404010962,0.20898181200027466,0.7868953543901444,0.064545510173976,0.7910181879997253,5.9298719215393065,0.540486253515535,5.885913848876953,3.925115602016449,0.4579985064310246,4.00008487701416,5.338267774581909,0.4319680702861236,5.307806015014648,1.41315217256546,0.5151203910107163,1.369486927986145
Watkins,10,model.blocks.9,0.18092417307198047,0.06867473933738405,0.17892491817474365,0.8190758270025253,0.06867473955324312,0.8210750818252563,4.5447795510292055,0.4139824050849027,4.5350446701049805,2.904743677377701,0.35285535937016205,2.9418171644210815,4.0457993769645695,0.32335267831042147,4.010735273361206,1.1410556995868684,0.4208801095312474,1.1134419441223145
Watkins,11,model.blocks.10,0.23535133615136147,0.06762616978407468,0.2396221086382866,0.7646486634016036,0.0676261662515815,0.7603778839111328,4.085824818611145,0.3209445048564707,4.046278238296509,1.6813445162773133,0.19305472410992425,1.655636966228485,4.140099620819091,0.32553532433515775,4.143171787261963,2.458755108118057,0.35687317367764465,2.4517416954040527
Watkins,12,model.blocks.11,0.14843510469421745,0.06757622292934694,0.1426583006978035,0.8515648984909058,0.0675762228927026,0.8573417067527771,13.715709629058837,1.0599545155329326,13.667160987854004,6.916008081436157,1.2899144143567525,7.101241111755371,12.866915302276611,0.9582484867618462,12.946598052978516,5.950907225608826,1.5524729913983124,5.885605573654175
iNaturalist,0,model.pos_drop,0.8234357023239136,0.041112826970517366,0.8414270579814911,0.17656429767608642,0.04111282697051737,0.1585729420185089,0.33097973868250846,0.09584711208035591,0.3182956129312515,0.5006578056514264,0.16012391356208036,0.4684653580188751,0.24513254188001155,0.08620425131540847,0.21756266057491302,-0.25552526354789734,0.09365882284939037,-0.2709094285964966
iNaturalist,1,model.blocks.0,0.7904792928695679,0.030076260900090256,0.7899399697780609,0.20952070713043214,0.030076260900090263,0.2100600302219391,1.346851201057434,0.24695123484768494,1.2938629388809204,2.2105423367023467,0.5530996664311216,2.0760658979415894,1.8013597857952117,0.3602962197522503,1.6942999362945557,-0.409182550907135,0.2429890724207974,-0.39376771450042725
iNaturalist,2,model.blocks.1,0.7621781003475189,0.038657115163925164,0.7689606845378876,0.23782189965248107,0.03865711516392516,0.23103931546211243,1.5304168558120728,0.30282533387183946,1.4311262369155884,2.3048521423339845,0.4593383544617247,2.2036508321762085,2.061450822353363,0.2674281106403117,2.0003467798233032,-0.24340131998062134,0.2672544081501768,-0.1931678056716919
iNaturalist,3,model.blocks.2,0.7895140689611435,0.05589267032703954,0.8060518503189087,0.21048593103885652,0.05589267032703954,0.1939481496810913,1.4960841071605682,0.3150116256744793,1.3817211389541626,2.1543056058883665,0.4156980893255392,2.0431677103042603,2.360627154111862,0.23912870805509867,2.326072573661804,0.2063215482234955,0.2717202211826681,0.2949157953262329
iNaturalist,4,model.blocks.3,0.746832440495491,0.07003957433938214,0.7668022811412811,0.253167559504509,0.07003957433938214,0.23319771885871887,2.1807527148723604,0.5742246167506414,1.9827204942703247,3.035872573852539,0.6650753160397374,2.8310874700546265,3.0027912139892576,0.3373941830036829,2.942699432373047,-0.03308135986328125,0.47956444822352423,0.17718660831451416
