model,layer_idx,top_k,mean_cos_principal_angles,n_bio_frames,n_nonbio_frames
sl_eat_all_ssl_all,7,20,0.7705610707341592,20000,10000
sl_eat_all_ssl_all,7,50,0.8151279830749205,20000,10000
sl_eat_all_ssl_all,8,5,0.7970507289602947,20000,10000
sl_eat_all_ssl_all,8,10,0.7558289775331557,20000,10000
sl_eat_all_ssl_all,8,20,0.8272262697870192,20000,10000
sl_eat_all_ssl_all,8,50,0.8575478960679258,20000,10000
sl_eat_all_ssl_all,9,5,0.6889774405591843,20000,10000
sl_eat_all_ssl_all,9,10,0.6836009731578467,20000,10000
sl_eat_all_ssl_all,9,20,0.7679697587920439,20000,10000
sl_eat_all_ssl_all,9,50,0.7722838721299403,20000,10000
sl_eat_all_ssl_all,10,5,0.8033620006295517,20000,10000
sl_eat_all_ssl_all,10,10,0.7723379893876327,20000,10000
sl_eat_all_ssl_all,10,20,0.7470469238898391,20000,10000
sl_eat_all_ssl_all,10,50,0.756204457351445,20000,10000
sl_eat_all_ssl_all,11,5,0.7611503518172068,20000,10000
sl_eat_all_ssl_all,11,10,0.8044032725392072,20000,10000
sl_eat_all_ssl_all,11,20,0.7852229988194672,20000,10000
sl_eat_all_ssl_all,11,50,0.7808361304249913,20000,10000
sl_eat_all_ssl_all,12,5,0.8261133832551867,20000,10000
sl_eat_all_ssl_all,12,10,0.8015427036350691,20000,10000
sl_eat_all_ssl_all,12,20,0.7964082457764882,20000,10000
sl_eat_all_ssl_all,12,50,0.8300412537212639,20000,10000
sl_eat_bio_ssl_all,0,5,0.8760522878166734,20000,10000
sl_eat_bio_ssl_all,0,10,0.8993564526313651,20000,10000
sl_eat_bio_ssl_all,0,20,0.8613164103836427,20000,10000
sl_eat_bio_ssl_all,0,50,0.9485960161246539,20000,10000
sl_eat_bio_ssl_all,1,5,0.9756795225875103,20000,10000
sl_eat_bio_ssl_all,1,10,0.8862297180561202,20000,10000
sl_eat_bio_ssl_all,1,20,0.934694669828405,20000,10000
sl_eat_bio_ssl_all,1,50,0.9074313181245445,20000,10000
