model,layer_idx,source_a,source_b,is_bio_a,is_bio_b,same_bio_class,mean_cos_principal_angles,k
eat_bio,2,Animal Sound Archive,Xeno-canto,True,True,True,0.9391725673273953,10
eat_bio,2,Animal Sound Archive,iNaturalist,True,True,True,0.9137316688932933,10
eat_bio,2,NatureLM,Watkins,False,True,False,0.7592619837280556,10
eat_bio,2,NatureLM,WavCaps,False,False,True,0.8395126721365956,10
eat_bio,2,NatureLM,Xeno-canto,False,True,False,0.726755282137563,10
eat_bio,2,NatureLM,iNaturalist,False,True,False,0.7669239424444471,10
eat_bio,2,Watkins,WavCaps,True,False,False,0.7703189916969692,10
eat_bio,2,Watkins,Xeno-canto,True,True,True,0.7000808893328797,10
eat_bio,2,Watkins,iNaturalist,True,True,True,0.740067885308218,10
eat_bio,2,WavCaps,Xeno-canto,False,True,False,0.8651906524628987,10
eat_bio,2,WavCaps,iNaturalist,False,True,False,0.9298126403635237,10
eat_bio,2,Xeno-canto,iNaturalist,True,True,True,0.9162280837868104,10
eat_bio,3,Animal Sound Archive,NatureLM,True,False,False,0.739120082191452,10
eat_bio,3,Animal Sound Archive,Watkins,True,True,True,0.6684718721076516,10
eat_bio,3,Animal Sound Archive,WavCaps,True,False,False,0.9108603235224791,10
eat_bio,3,Animal Sound Archive,Xeno-canto,True,True,True,0.9159316662647854,10
eat_bio,3,Animal Sound Archive,iNaturalist,True,True,True,0.8880741434136288,10
eat_bio,3,NatureLM,Watkins,False,True,False,0.7542205765811798,10
eat_bio,3,NatureLM,WavCaps,False,False,True,0.797666639901399,10
eat_bio,3,NatureLM,Xeno-canto,False,True,False,0.6872121643895854,10
eat_bio,3,NatureLM,iNaturalist,False,True,False,0.7200250915168891,10
eat_bio,3,Watkins,WavCaps,True,False,False,0.7252509861454072,10
eat_bio,3,Watkins,Xeno-canto,True,True,True,0.6759517068751211,10
eat_bio,3,Watkins,iNaturalist,True,True,True,0.6960169265902418,10
eat_bio,3,WavCaps,Xeno-canto,False,True,False,0.8445173725374397,10
eat_bio,3,WavCaps,iNaturalist,False,True,False,0.8604218989804779,10
eat_bio,3,Xeno-canto,iNaturalist,True,True,True,0.9439352641486044,10
eat_bio,4,Animal Sound Archive,NatureLM,True,False,False,0.7015249720714702,10
eat_bio,4,Animal Sound Archive,Watkins,True,True,True,0.6112436267341689,10
eat_bio,4,Animal Sound Archive,WavCaps,True,False,False,0.8231275640283353,10
eat_bio,4,Animal Sound Archive,Xeno-canto,True,True,True,0.836647653586262,10
eat_bio,4,Animal Sound Archive,iNaturalist,True,True,True,0.8791047309793246,10
eat_bio,4,NatureLM,Watkins,False,True,False,0.6948468445105702,10
eat_bio,4,NatureLM,WavCaps,False,False,True,0.8151756808157901,10
eat_bio,4,NatureLM,Xeno-canto,False,True,False,0.6314274596942259,10
eat_bio,4,NatureLM,iNaturalist,False,True,False,0.700470738259367,10
eat_bio,4,Watkins,WavCaps,True,False,False,0.7380256498368423,10
eat_bio,4,Watkins,Xeno-canto,True,True,True,0.6201679100749249,10
eat_bio,4,Watkins,iNaturalist,True,True,True,0.6345018378335701,10
eat_bio,4,WavCaps,Xeno-canto,False,True,False,0.7886336801600492,10
eat_bio,4,WavCaps,iNaturalist,False,True,False,0.8109695825087643,10
eat_bio,4,Xeno-canto,iNaturalist,True,True,True,0.8905883798919397,10
eat_bio,5,Animal Sound Archive,NatureLM,True,False,False,0.7840017991941363,10
eat_bio,5,Animal Sound Archive,Watkins,True,True,True,0.6757680502117078,10
eat_bio,5,Animal Sound Archive,WavCaps,True,False,False,0.8973372919030307,10
eat_bio,5,Animal Sound Archive,Xeno-canto,True,True,True,0.8761787464071137,10
eat_bio,5,Animal Sound Archive,iNaturalist,True,True,True,0.8965961943838268,10
eat_bio,5,NatureLM,Watkins,False,True,False,0.7403865564748787,10
eat_bio,5,NatureLM,WavCaps,False,False,True,0.8451292882165753,10
eat_bio,5,NatureLM,Xeno-canto,False,True,False,0.7448490557454568,10
eat_bio,5,NatureLM,iNaturalist,False,True,False,0.7878795503074298,10
eat_bio,5,Watkins,WavCaps,True,False,False,0.7547146344591551,10
eat_bio,5,Watkins,Xeno-canto,True,True,True,0.6840079328445304,10
