model,layer_idx,k,n,mle_id
eat_bio,0,10,5000,8.322209815502221
eat_bio,0,20,5000,10.561048799709049
eat_bio,0,40,5000,5.200996457738004
eat_bio,0,80,5000,7.055549966064311
eat_bio,0,5,10000,3.8441875438862914
eat_bio,0,10,10000,6.075516651083066
eat_bio,0,20,10000,8.736016224957293
eat_bio,0,40,10000,10.790510353963828
eat_bio,0,80,10000,5.382112784995904
eat_bio,0,5,20000,2.1965457177516767
eat_bio,0,10,20000,3.4510310122208683
eat_bio,0,20,20000,5.725265782338689
eat_bio,0,40,20000,8.282322001397999
eat_bio,0,80,20000,10.417688735927213
eat_bio,4,5,2500,10.936598032210723
eat_bio,4,10,2500,12.349231745512249
eat_bio,4,20,2500,12.999660310182177
eat_bio,4,40,2500,14.036487580162824
eat_bio,4,80,2500,14.783498917501396
eat_bio,4,5,5000,9.387043449784318
eat_bio,4,10,5000,11.41878444499288
eat_bio,4,20,5000,12.072434460152795
eat_bio,4,40,5000,13.192595779078802
eat_bio,4,80,5000,14.105515089796766
eat_bio,4,5,10000,6.374926058403937
eat_bio,4,10,10000,8.972051764886173
eat_bio,4,20,10000,10.91436274201333
eat_bio,4,40,10000,11.850353569626739
eat_bio,4,80,10000,13.110564976777237
eat_bio,4,5,20000,3.909206392648967
eat_bio,4,10,20000,6.4142194702593445
eat_bio,4,20,20000,8.83047008155479
eat_bio,4,40,20000,10.767268924663815
eat_bio,4,80,20000,12.10829933943492
eat_bio,8,5,2500,8.896456504521575
eat_bio,8,10,2500,10.915137903847889
eat_bio,8,20,2500,12.217470820635402
eat_bio,8,40,2500,13.21087857776523
eat_bio,8,80,2500,13.765509175941736
eat_bio,8,5,5000,6.74863103136572
eat_bio,8,10,5000,9.123305270802614
eat_bio,8,20,5000,10.928369628634883
eat_bio,8,40,5000,12.117059531540738
eat_bio,8,80,5000,13.081809046362915
eat_bio,8,5,10000,5.251464749714123
eat_bio,8,10,10000,7.6852306402460915
eat_bio,8,20,10000,9.7858504210248
eat_bio,8,40,10000,11.386826542067631
eat_bio,8,80,10000,12.355575689935772
eat_bio,8,5,20000,3.40119492916047
eat_bio,8,10,20000,5.484552757880034
eat_bio,8,20,20000,7.723266146535436
eat_bio,8,40,20000,9.754708546838874
eat_bio,8,80,20000,11.263169496521076
eat_bio,9,5,2500,8.709353967186724
eat_bio,9,10,2500,10.105172564733273
eat_bio,9,20,2500,10.917106659129358
eat_bio,9,40,2500,11.78100564203067
eat_bio,9,80,2500,12.59832130494878
eat_bio,9,5,5000,7.302631935218458
eat_bio,9,10,5000,8.995175304839465
eat_bio,9,20,5000,10.22737012520289
eat_bio,9,40,5000,11.161110060575487
eat_bio,9,80,5000,12.005715830961284
eat_bio,9,5,10000,5.199464003149818
eat_bio,9,10,10000,7.378389833562558
eat_bio,9,20,10000,9.12773040040904
eat_bio,9,40,10000,10.244728898083569
eat_bio,9,80,10000,11.027719832897985
eat_bio,9,5,20000,3.1168657194418556
eat_bio,9,10,20000,5.030559797140538
eat_bio,9,20,20000,7.054550734573938
eat_bio,9,40,20000,8.842515447383661
eat_bio,9,80,20000,9.990720009823626
eat_bio,10,5,2500,8.427534808574595
eat_bio,10,10,2500,9.882645038973395
eat_bio,10,20,2500,10.769612393571297
eat_bio,10,40,2500,11.755593982128573
eat_bio,10,80,2500,12.711019968490413
eat_bio,10,5,5000,6.271597146085623
eat_bio,10,10,5000,8.284050051130869
eat_bio,10,20,5000,9.743301494978416
eat_bio,10,40,5000,10.724668662719179
eat_bio,10,80,5000,11.800931090764161
eat_bio,10,5,10000,4.907573927887786
eat_bio,10,10,10000,6.998434798466121
eat_bio,10,20,10000,8.782957105406878
eat_bio,10,40,10000,10.057212974691122
eat_bio,10,80,10000,10.964648030393363
eat_bio,10,5,20000,3.2804125026914837
eat_bio,10,10,20000,5.027858162083876
eat_bio,10,20,20000,6.998040301045317
eat_bio,10,40,20000,8.726672746626898
eat_bio,10,80,20000,9.988908611138031
eat_bio,11,5,2500,8.938618591584456
eat_bio,11,10,2500,10.440408390962533
eat_bio,11,20,2500,11.621957443522197
eat_bio,11,40,2500,12.602655048015347
eat_bio,11,80,2500,13.676747041131089
eat_bio,11,5,5000,7.419921461085134
eat_bio,11,10,5000,9.330101455209883
eat_bio,11,20,5000,10.63810026665653
eat_bio,11,40,5000,11.803370859031373
eat_bio,11,80,5000,12.922780065264392
eat_bio,11,5,10000,5.8663776909525005
eat_bio,11,10,10000,7.985104983036239
eat_bio,11,20,10000,9.661160950131672
eat_bio,11,40,10000,10.957968824743544
eat_bio,11,80,10000,11.873952131941957
